#
# $ make update_params
# copying: public domain
|uim-fepの|あたらしい|ばーじょん| |uim-fepの|新しい|バージョン|
|wikipediaには| |wikipediaには|
|。|０なんて|ついてるのは|にほんだけだ| |.|0なんて|付いてるのは|日本だけだ|
|「|さとう|」|です| |「|佐藤|」|です|
|０ばんめ|いがいの|こうほが|かくていされた| |0番め|以外の|候補が|確定された|
|１００％を|こえる|ふかに|たえる| |１００%を|越える|負荷に|耐える|
|１００えんの|にほんしゅ|まずい| |１００円の|日本酒|不味い|
|１０ぽいんと|かいふくした| |１０ポイント|回復した|
|１にち|さいちょう|８じかん| |１日|最長|８時間|
|２じごろには|もどってくるかな| |2時ごろには|戻ってくるかな|
|２どと|そんな|じだいは|こないよ| |２度と|そんな|時代は|来ないよ|
|７しゅうねん|きねん|のみかい| |7周年|記念|飲み会|
|８にちまでに|かいとうしてください| |８日までに|回答してください|
|９じごろに|でんわが|あったときの|ようけん| |9時頃に|電話が|あったときの|用件|
|ああ|おまえは|しごとなんかせずに|あそべと|いってやってください| |ああ|お前は|仕事なんかせずに|遊べと|言ってやってください|
|あいての|ほうが|さきに|はんだんを|くだしていた| |相手の|方が|先に|判断を|下していた|
|あえて|いおう| |あえて|言おう|
|あかうんとの|あるひとは|なまえを|おしえてください| |アカウントの|ある人は|名前を|教えてください|
|あきの|よながに|だらだらと|こーどを|かく| |秋の|夜長に|だらだらと|コードを|書く|
|あさから|いく|よていです| |朝から|行く|予定です|
|あさってから|きょうとに|いきます| |明後日から|京都に|行きます|
|あさってまでに|ていあんしょが|かけるなら|どうぞ| |明後日までに|提案書が|書けるなら|どうぞ|
|あさはやく|おきないと|せいしんえいせいじょう|よくない| |朝早く|起きないと|精神衛生上|よくない|
|あした|れいの|かいしゃの|ひとが|がっこうに|くるらしい| |明日|例の|会社の|人が|学校に|来るらしい|
|あしたから|ねる|まえに|うんどうを|する| |明日から|寝る|前に|運動を|する|
|あしたは|こなくて|いいって|れんらくが|あった| |明日は|こなくて|いいって|連絡が|あった|
|あじが|まずい| |味が|まずい|
|あそばせておく| |遊ばせておく|
|あそんで| |遊んで|
|あそんでください| |遊んでください|
|あたえられた|じょうけんから|なんとか|つかえる|かいを|みつけだす| |与えられた|条件から|何とか|使える|解を|見つけ出す|
|あたまの|わるそうな|はつげんを|してください| |頭の|悪そうな|発言を|してください|
|あたらしい|みかたなり|してんを|もってください| |新しい|見方なり|視点を|持ってください|
|あっちの|ぎょうかいは|ほうどうが|まともなので|うらやましい| |あっちの|業界は|報道が|まともなので|羨ましい|
|あっというまに|たまが|つきて|げいげきできない| |あっという間に|弾が|尽きて|迎撃できない|
|あつい|ざっしを|よむ| |厚い|雑誌を|読む|
|あつい|ふろに|はいる| |熱い|風呂に|入る|
|あつい|ほんを|よむ| |厚い|本を|読む|
|あてにしていた|ひとの|しえんが|えられなかった| |当てにしていた|人の|支援が|得られなかった|
|あてはまる|もの| |当てはまる|物|
|あと|すこしで|いい|ところまで|とうたつする| |あと|少しで|良い|所まで|到達する|
|あなたに|おねがいが|あります| |あなたに|お願いが|あります|
|あなたの|かみがたが|うらやましかった| |あなたの|髪型が|羨ましかった|
|あなたの|きちは|すべて|わたしの|ものです| |あなたの|基地は|全て|私の|物です|
|あなたは|たべないの| |あなたは|食べないの|
|あにめ|みて|わらいすぎて|さんけつ| |アニメ|見て|笑いすぎて|酸欠|
|あにめ|みてられる|おんせんやどを|さがそうか| |アニメ|見てられる|温泉宿を|探そうか|
|あの|ふねでも|ぜんぜん|かまいません| |あの|船でも|全然|構いません|
|あのころの|かがやきって|いうけど|いつの|ことだろう| |あの頃の|輝きって|言うけど|いつの|事だろう|
|あのころは|ばかみたいに|いが|でかかったんだろうなあ| |あの頃は|バカみたいに|胃が|でかかったんだろうなあ|
|あまり|はら|へってないですから| |あまり|腹|減ってないですから|
|あめが|はげしいな| |雨が|激しいな|
|あめが|ふりこむ| |雨が|降り込む|
|あめが|ふる| |雨が|降る|
|あめにも|まけず| |雨にも|負けず|
|あめの|ひに|しあいは|ありません| |雨の|日に|試合は|ありません|
|あめりかでは|ひとあしさきに|はつばいされています| |アメリカでは|一足先に|発売されています|
|あやまって|へんかんされる| |誤って|変換される|
|ありえない|ほどの|そくどで|とうちゃくした| |ありえない|ほどの|速度で|到着した|
|ありがとう| |ありがとう|
|ある|ていどは|きかいてきな|ものの|はずですよね| |ある|程度は|機械的なものの|はずですよね|
|あるいて|でかける| |歩いて|出かける|
|あるいみ|じゅうじつした|１ねんかんでした| |ある意味|充実した|１年間でした|
|あるこーる|なしで|らいしゅうを|のりきれる|きがしない| |アルコール|無しで|来週を|乗りきれる|気がしない|
|あれは|おさそいと|かいしゃくできる| |あれは|お誘いと|解釈できる|
|あれは|たぶん|けんきゅうしつ|けいゆで|ひろっている| |あれは|たぶん|研究室|経由で|拾っている|
|あれは|めっせーじを|じゅしんしたよって|いう|いみじゃないかな| |あれは|メッセージを|受信したよって|いう|意味じゃないかな|
|あれも|ほんらいは|ほとんど|ない|ものらしいです| |あれも|本来は|ほとんど|無い|物らしいです|
|あれんじだから|たぶん|くべつが|つく| |アレンジだから|多分|区別が|つく|
|あわてたりは|しない| |慌てたりは|しない|
|あわらおんせんで|もらった|つめきりの|きれあじが|いい| |芦原温泉で|もらった|爪きりの|切れ味が|いい|
|あんけーとを|そそくさと|きにゅうする| |アンケートを|そそくさと|記入する|
|あんぜんほしょう|じょう|じゅうよう| |安全保障|上|重要|
|あんまり|こころあたりが|ない| |あんまり|心当たりが|無い|
|いい|ばしょは|はやいものがちで|かくほしてください| |いい|場所は|早い者勝ちで|確保してください|
|いいと|おもったら|すぐ|じっこうする| |いいと|思ったら|すぐ|実行する|
|いうにことかいて|ねこの|なきまねを|する| |言うに事欠いて|猫の|泣きまねを|する|
|いえから|かいしゃまでの|じかん| |家から|会社までの|時間|
|いえに|とうちゃくするまでが|えんそくです| |家に|到着するまでが|遠足です|
|いえの|まえ| |家の|前|
|いがいと|まちがわないように|みえる| |意外と|間違わないように|見える|
|いがいな|ひとが|たすけてくれて|うれしい|いっぽう| |意外な|人が|助けてくれて|うれしい|一方|
|いがいに|おもうかもしれない| |意外に|思うかもしれない|
|いきなり|すきんへっどで|きたら|わだいにするのを|ためらってしまう| |いきなり|スキンヘッドで|来たら|話題にするのを|ためらってしまう|
|いく| |行く|
|いくらか|てが|だしやすくなった| |いくらか|手が|出しやすくなった|
|いしの|うえにも|さんねん| |石の|上にも|三年|
|いしゃが|しょほうせん|だすような|くすりです| |医者が|処方箋|出すような|薬です|
|いじの|わるさに|きょうたんした| |意地の|悪さに|驚嘆した|
|いじょう|よろしく|おねがいします| |以上|よろしく|お願いします|
|いたんだ|かーどを|こうしんしつつ| |痛んだ|カードを|更新しつつ|
|いちいち|ぐぐらんと|わからん|こゆうめいし|だすな| |いちいち|ググらんと|分からん|固有名詞|出すな|
|いちおう|いまは|しごと|じかんちゅうです| |一応|今は|仕事|時間中です|
|いちど|ていたいし|、|そのご|ふっかつしている| |1度|停滞し|、|その後|復活している|
|いちどは|はいぼくを|きっした|みだ| |一度は|敗北を|喫した|身だ|
|いちにち|あたりの|のるまを|きめたら|たっせいできると|おもったが| |一日|あたりの|ノルマを|決めたら|達成できると|思ったが|
|いちにちじゅう|ぐだぐだですね| |一日中|ぐだぐだですね|
|いちを|きめるのが|めんどう| |位置を|決めるのが|面倒|
